direction,model,oracle_within_tgt,cross,gap,pct_drop,source_within_ref
A->B,RF,0.1633644814528146,0.12859222455374184,0.03477225689907276,21.285077753646352,0.21896044111911966
A->B,xgboost,0.15259250782152103,0.09096685574702254,0.061625652074498494,40.385765300206344,0.22969766788895474
A->B,lightgbm,0.1408618001379386,0.09075795880103228,0.050103841336906305,35.56950236887661,0.22840555996762338
B->A,RF,0.21896044111911966,0.15786905384377775,0.06109138727534191,27.90065043854508,0.1633644814528146
B->A,xgboost,0.22969766788895474,0.152219180083013,0.07747848780594174,33.730637545435606,0.15259250782152103
B->A,lightgbm,0.22840555996762338,0.14394525397750257,0.0844603059901208,36.978218044295026,0.1408618001379386
