direction,model,within,cross,gap,pct_drop
A->B,RF,0.1698494517729694,0.1565363899898159,0.013313061783153501,7.838154108939079
A->B,xgboost,0.1809606349644756,0.1125375662727911,0.06842306869168449,37.81102376498438
A->B,lightgbm,0.17662610121101202,0.10951006970043906,0.06711603151057297,37.99893167000876
B->A,RF,0.21517288281056385,0.13022511570648218,0.08494776710408167,39.47884417148831
B->A,xgboost,0.1960513717200082,0.11873738732680236,0.07731398439320583,39.43557431652261
B->A,lightgbm,0.19459445088487745,0.11685120036861106,0.07774325051626639,39.95142213087026
