direction,model,within_pen,cross_pen,DiD,cross_pen_lo,cross_pen_hi,cross_sig
A->B,RF,0.014086045141591369,0.03337612453957976,0.019290079397988394,0.015039472663588519,0.05356224855380987,True
A->B,xgboost,0.016515017832092332,0.004653889403726824,-0.011861128428365508,-0.010203154599956778,0.019510093489920638,False
A->B,lightgbm,0.01506884225037139,0.0024794292184825706,-0.012589413031888819,-0.011263472622007178,0.015869149445991933,False
B->A,RF,0.0607500260444708,0.03777995748126804,-0.02297006856320276,0.026875343864517374,0.051711004423056754,True
B->A,xgboost,0.020647068576998884,0.019158698760046666,-0.0014883698169522175,0.009493572659219037,0.029604632107975166,True
B->A,lightgbm,0.01977656205887479,0.022490121284356887,0.0027135592254820956,0.013239716022458842,0.03249296760328747,True
