ablation,condition,mean_d,sd_d,ttest_p,wilcoxon_p,all_same_sign
lab_core,1_none,0.0006832387181053224,0.007596275401783278,0.8504172546250166,1.0,False
lab_core,2_class_weight,-0.00586161761291788,0.006293180186760921,0.1056963616685041,0.125,False
lab_core,3_RandomUnder,0.0008707161340045122,0.01170952670389042,0.8760081947753404,1.0,False
lab_core,4_RandomOver,0.008026294281435632,0.0052416390149886295,0.0266821933443579,0.0625,True
lab_core,5_SMOTENC,0.0002199130065891619,0.002411430613919176,0.8483701917151348,1.0,False
lab_core,6_BorderlineSMOTE,-0.004602430114468825,0.005180972962050397,0.11793865402549485,0.125,False
lab_core,7_ADASYN,0.0011432781251804968,0.008362923376375725,0.775090289478772,1.0,False
lab_core,8_SMOTETomek,-0.0029683696461917375,0.007045091822797602,0.3994646804752058,0.4375,False
all_7,1_none,0.010454158986459744,0.009592109172223836,0.07143726236571579,0.125,False
all_7,2_class_weight,0.014006909920133403,0.010046962511814738,0.0356160113029328,0.125,False
all_7,3_RandomUnder,0.013147905313933495,0.010998571923254348,0.05562979118720098,0.0625,True
all_7,4_RandomOver,0.01748673680761071,0.011109090644320672,0.024454952341338317,0.0625,True
all_7,5_SMOTENC,0.010538517775910116,0.006700429731341174,0.02451823934186167,0.0625,True
all_7,6_BorderlineSMOTE,0.012187310041389583,0.01902958333051286,0.22539116709466409,0.3125,False
all_7,7_ADASYN,0.015667543762448694,0.006977423142931051,0.0073801111630154865,0.0625,True
all_7,8_SMOTETomek,0.012583105934458416,0.012984124036665746,0.0961317116924897,0.125,False
