cell,feature,group,perm_importance
1_none_baseline,Bilirubin_direct_mean,non_SOFA,1.5504740710570176e-05
1_none_baseline,Bilirubin_direct_min,non_SOFA,-0.00013797617001090612
1_none_baseline,Bilirubin_direct_max,non_SOFA,-0.00010600196354739189
1_none_baseline,Bilirubin_direct_std,non_SOFA,0.0
1_none_baseline,Glucose_mean,non_SOFA,0.0021374500637888925
1_none_baseline,Glucose_min,non_SOFA,-0.0002471383790150938
1_none_baseline,Glucose_max,non_SOFA,-7.747352711737766e-05
1_none_baseline,Glucose_std,non_SOFA,0.0018646324954279315
1_none_baseline,Lactate_mean,non_SOFA,-0.0017168555546478782
1_none_baseline,Lactate_min,non_SOFA,0.0006998866972627194
1_none_baseline,Lactate_max,non_SOFA,0.000760357301075687
1_none_baseline,Lactate_std,non_SOFA,-6.40337081623088e-05
1_none_baseline,Magnesium_mean,non_SOFA,-0.0010917558718144872
1_none_baseline,Magnesium_min,non_SOFA,-0.0011807919836323787
1_none_baseline,Magnesium_max,non_SOFA,-5.2775579603431265e-05
1_none_baseline,Magnesium_std,non_SOFA,-8.02360819976089e-05
1_none_baseline,Phosphate_mean,non_SOFA,-0.0011505986891005016
1_none_baseline,Phosphate_min,non_SOFA,-0.0011312210492946894
1_none_baseline,Phosphate_max,non_SOFA,-0.0002347618721921574
1_none_baseline,Phosphate_std,non_SOFA,-7.90821234912753e-05
1_none_baseline,Potassium_mean,non_SOFA,0.000916580044919646
1_none_baseline,Potassium_min,non_SOFA,0.0008374455644608869
1_none_baseline,Potassium_max,non_SOFA,0.00029616475545362063
1_none_baseline,Potassium_std,non_SOFA,-0.00022920063540088353
1_none_baseline,Bilirubin_total_mean,SOFA_lab_core,0.00018148635921054755
1_none_baseline,Bilirubin_total_min,SOFA_lab_core,-4.5753927111574774e-05
1_none_baseline,Bilirubin_total_max,SOFA_lab_core,-0.0008463498589342255
1_none_baseline,Bilirubin_total_std,SOFA_lab_core,-2.9739357069069605e-05
1_none_baseline,TroponinI_mean,non_SOFA,0.0002232854113886351
1_none_baseline,TroponinI_min,non_SOFA,0.0009296349364233292
1_none_baseline,TroponinI_max,non_SOFA,0.0006795908095568904
1_none_baseline,TroponinI_std,non_SOFA,-3.381049739731301e-06
1_none_baseline,Hct_mean,non_SOFA,9.487628981946772e-06
1_none_baseline,Hct_min,non_SOFA,-0.00036874973276014854
1_none_baseline,Hct_max,non_SOFA,-0.00037077884106000993
1_none_baseline,Hct_std,non_SOFA,0.00015002593842055044
1_none_baseline,Hgb_mean,non_SOFA,-0.00028375311632388155
