site,model,condition,arm,split,auprc,auroc
A,RF,5_SMOTENC,lab_indicators_only,13,0.14203466539700846,0.7142100323918507
A,RF,5_SMOTENC,lab_indicators_only,14,0.15697188710075666,0.7386192152917505
A,RF,5_SMOTENC,lab_indicators_only,15,0.15865572826875166,0.7238210224026691
A,RF,5_SMOTENC,lab_indicators_only,16,0.14052291396383226,0.716447413523869
A,RF,5_SMOTENC,lab_indicators_only,17,0.1529068687991481,0.7305909551413403
A,RF,5_SMOTENC,lab_indicators_only,18,0.16827087037263763,0.7489650501014138
A,RF,5_SMOTENC,lab_indicators_only,19,0.15626894263181876,0.746751341381623
A,RF,5_SMOTENC,lab_indicators_only,20,0.14909303258109155,0.7350928175869713
A,RF,5_SMOTENC,lab_indicators_only,21,0.1307647161455566,0.7222823147647376
A,RF,5_SMOTENC,lab_indicators_only,22,0.130500941830216,0.7061773017771312
A,RF,5_SMOTENC,lab_indicators_only,23,0.155154423480865,0.7207697605424879
A,RF,5_SMOTENC,lab_indicators_only,24,0.16235126077580847,0.7370167977562345
A,xgboost,1_none,full,0,0.16433975647930343,0.7120217247236802
A,xgboost,1_none,full,1,0.18079060102059816,0.7447497314878998
A,xgboost,1_none,full,2,0.17239174096869883,0.7505998674578569
A,xgboost,1_none,full,3,0.16346795495156147,0.7229134501861775
A,xgboost,1_none,full,4,0.17322637045239897,0.7573604505822816
A,xgboost,1_none,full,5,0.1676895428097234,0.736854333137821
A,xgboost,1_none,full,6,0.17418279082604746,0.7172700888946443
A,xgboost,1_none,full,7,0.20073342326795315,0.75850288317248
A,xgboost,1_none,full,8,0.17816588494925373,0.7239919171737355
A,xgboost,1_none,full,9,0.19357036667642677,0.7697434607645877
A,xgboost,1_none,full,10,0.18440638352770483,0.7246170369975397
A,xgboost,1_none,full,11,0.1770758639623413,0.7281134073233342
A,xgboost,1_none,full,12,0.21478089235359643,0.7503218336519931
A,xgboost,1_none,full,13,0.16489059296625916,0.7461288711288712
A,xgboost,1_none,full,14,0.15246622377503943,0.7179897567221512
A,xgboost,1_none,full,15,0.2025895837916943,0.7378293557994805
A,xgboost,1_none,full,16,0.20784758038499318,0.7343291767914136
A,xgboost,1_none,full,17,0.1497674671669875,0.7047052460789616
A,xgboost,1_none,full,18,0.22179291552098904,0.7741917173735355
A,xgboost,1_none,full,19,0.19247034430019436,0.735793549173831
A,xgboost,1_none,full,20,0.19154325018743157,0.7428682424454787
A,xgboost,1_none,full,21,0.19658897636166153,0.7394632804942147
A,xgboost,1_none,full,22,0.15363815964158653,0.7281172160056064
A,xgboost,1_none,full,23,0.16421055486828456,0.722149063058154
A,xgboost,1_none,full,24,0.18138865290116196,0.7295172550454241
A,xgboost,1_none,lab_indicators_only,0,0.16188454717495593,0.6980667128786783
A,xgboost,1_none,lab_indicators_only,1,0.17165733977322606,0.7106391730589051
A,xgboost,1_none,lab_indicators_only,2,0.1724350970631049,0.7363363523488144
A,xgboost,1_none,lab_indicators_only,3,0.16584612771088392,0.7166507734689554
A,xgboost,1_none,lab_indicators_only,4,0.16897510885205586,0.7420088714102798
A,xgboost,1_none,lab_indicators_only,5,0.1923862344485333,0.736606768790134
A,xgboost,1_none,lab_indicators_only,6,0.17144054523206556,0.722891703928275
A,xgboost,1_none,lab_indicators_only,7,0.19940342810724948,0.7339902040691962
A,xgboost,1_none,lab_indicators_only,8,0.17381367799121247,0.6995920745920745
A,xgboost,1_none,lab_indicators_only,9,0.18307458533578566,0.7459606121577953
A,xgboost,1_none,lab_indicators_only,10,0.1623775379071529,0.6970231339361208
A,xgboost,1_none,lab_indicators_only,11,0.18163603312800258,0.7222899321292819
A,xgboost,1_none,lab_indicators_only,12,0.20223638806533853,0.7588266211656092
