cond,direction,model,delta,lo,hi,sig
1_none,A->B,RF,0.00474344171809063,-0.00691279917252084,0.01624796576802928,False
1_none,A->B,xgboost,-0.005308567864887537,-0.017345695405213895,0.0053159533262908685,False
1_none,A->B,lightgbm,0.0020793358856351085,-0.009033482329641268,0.013491323927849635,False
1_none,B->A,RF,0.004669191368514625,-0.0015344478757041077,0.010677736983054856,False
1_none,B->A,xgboost,0.0019712615291835045,-0.004737744929538631,0.009682123242129768,False
1_none,B->A,lightgbm,-0.00196673212578527,-0.008080148875379382,0.004662493155963513,False
5_SMOTENC,A->B,RF,-0.001973426109114787,-0.01651752442041789,0.011495606256966051,False
5_SMOTENC,A->B,xgboost,-0.001713541811509539,-0.014218836336105281,0.00912984437986081,False
5_SMOTENC,A->B,lightgbm,0.0009852142978542672,-0.011682945209547473,0.011545633473421912,False
5_SMOTENC,B->A,RF,-0.0009481149028596481,-0.005751518119429831,0.00392102237496677,False
5_SMOTENC,B->A,xgboost,-0.0030857422363832487,-0.009254043389108468,0.0032968813763414157,False
5_SMOTENC,B->A,lightgbm,-0.0042886588136902964,-0.010318604004608985,0.0013631935262913453,False
