,total_lab(full-panel),circularity(full-indicators),physiology(panel-indicators)
1_none,0.02987276137964609,0.0029923262110206905,-0.0268804351686254
2_class_weight,0.022930770496599,0.0024548284524894826,-0.02047594204410952
3_RandomUnder,0.010765365165974622,0.0017175443915569133,-0.009047820774417709
4_RandomOver,0.0251585993440894,0.010505808351899903,-0.014652790992189496
5_SMOTENC,0.021055602376098492,0.010199680360268804,-0.010855922015829689
6_BorderlineSMOTE,0.025849573840775103,0.003939089822721092,-0.02191048401805401
7_ADASYN,0.015319213942525,0.0035935989833829896,-0.011725614959142011
8_SMOTETomek,0.020062219592737907,0.0108482438104692,-0.009213975782268707
