arm,condition,mean_d,p_corrected,model,channel
all_7,6_BorderlineSMOTE,0.0145585177671005,0.1580591144134543,lightgbm,SOFA_system
all_7,7_ADASYN,0.0141435037344713,0.0128259246278191,lightgbm,SOFA_system
all_7,8_SMOTETomek,0.0149380759106269,0.1118245614055332,lightgbm,SOFA_system
lab_panel,1_none,0.023565903026708,0.0276775695452082,lightgbm,total_labs
lab_panel,2_class_weight,0.0166852270634236,0.0659586447258609,lightgbm,total_labs
lab_panel,3_RandomUnder,0.0181558902786058,0.0341688105054487,lightgbm,total_labs
lab_panel,4_RandomOver,0.02190273396437,0.0349529014097978,lightgbm,total_labs
lab_panel,5_SMOTENC,0.0177781863642733,0.0371556003069674,lightgbm,total_labs
lab_panel,6_BorderlineSMOTE,0.0277632214652147,0.0061073194278938,lightgbm,total_labs
lab_panel,7_ADASYN,0.0274250304012479,0.0022161384919429,lightgbm,total_labs
lab_panel,8_SMOTETomek,0.0259608909935776,0.0239164209864648,lightgbm,total_labs
