channel,mean_d,ci95_halfwidth,p_naive,p_corrected,p_bh,sig_primary
total_labs,0.0216490830774674,0.0165976030134506,1.7275554854592937e-07,0.0127367218833085,0.0382101656499255,True
ordering_beyond_value,0.0049937281124083,0.0103711014276079,0.0132183049279089,0.3302465984512667,0.3302465984512667,False
SOFA_system,0.0090038315826714,0.0094294800609247,1.9169593754211476e-05,0.060393724309801,0.0905905864647015,False
